epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,8072.95,1.03682,0.59163,1.00455,0.96746,0.93379,0.96638,0.69514,1.10602,0.55493,0.95969,0.00472,0.00472,0.00472
162,8123.16,1.04268,0.58049,1.01089,0.96632,0.93339,0.967,0.69782,1.10815,0.55524,0.9584,0.004687,0.004687,0.004687
163,8173.29,1.03659,0.58245,1.01077,0.95708,0.94178,0.96599,0.69677,1.1164,0.55514,0.96024,0.004654,0.004654,0.004654
164,8223.38,1.03726,0.58534,1.00783,0.96817,0.9355,0.96593,0.68908,1.13666,0.55727,0.9601,0.004621,0.004621,0.004621
165,8273.61,1.03099,0.57753,1.00798,0.96868,0.93574,0.96584,0.68804,1.13852,0.56045,0.96174,0.004588,0.004588,0.004588
166,8323.74,1.04153,0.58395,1.01411,0.95921,0.9395,0.96575,0.69034,1.12365,0.56467,0.9604,0.004555,0.004555,0.004555
167,8373.9,1.03688,0.58007,1.00803,0.96548,0.93436,0.96436,0.69527,1.10604,0.56267,0.95417,0.004522,0.004522,0.004522
168,8423.99,1.03453,0.57695,1.00854,0.96005,0.94007,0.96818,0.69556,1.10969,0.55734,0.95236,0.004489,0.004489,0.004489
169,8474.18,1.0335,0.58247,1.0107,0.96152,0.94121,0.96679,0.69878,1.10539,0.55374,0.9542,0.004456,0.004456,0.004456
170,8524.35,1.02895,0.57394,1.00779,0.96011,0.94235,0.96683,0.70387,1.09636,0.54764,0.95489,0.004423,0.004423,0.004423
171,8574.46,1.0403,0.57989,1.0063,0.96368,0.93893,0.96528,0.70313,1.08995,0.5445,0.95189,0.00439,0.00439,0.00439
172,8624.52,1.02168,0.57219,1.0038,0.97036,0.93442,0.96493,0.70136,1.08411,0.5449,0.95257,0.004357,0.004357,0.004357
173,8674.67,1.03395,0.57556,1.00435,0.96002,0.94578,0.96773,0.70353,1.08139,0.54411,0.95037,0.004324,0.004324,0.004324
174,8724.83,1.02833,0.5707,1.00469,0.96602,0.94121,0.96644,0.70241,1.08395,0.54535,0.95143,0.004291,0.004291,0.004291
175,8775.07,1.01789,0.56945,0.99728,0.97392,0.93436,0.96777,0.7024,1.08652,0.54127,0.95,0.004258,0.004258,0.004258
176,8825.29,1.02788,0.57714,1.00437,0.97366,0.92838,0.96447,0.69922,1.08782,0.54423,0.94557,0.004225,0.004225,0.004225
177,8875.53,1.02712,0.57541,1.00338,0.9654,0.9395,0.96618,0.70212,1.08516,0.54438,0.94569,0.004192,0.004192,0.004192
178,8925.58,1.01493,0.56657,0.99501,0.96869,0.93607,0.96457,0.70004,1.08956,0.54997,0.94638,0.004159,0.004159,0.004159
179,8975.67,1.02726,0.57944,1.00634,0.97045,0.93721,0.9653,0.69862,1.09718,0.54405,0.94668,0.004126,0.004126,0.004126
180,9025.74,1.02672,0.56727,1.00406,0.97395,0.93893,0.96676,0.70104,1.09276,0.54544,0.94731,0.004093,0.004093,0.004093
181,9075.9,1.01037,0.56239,0.99314,0.96989,0.93779,0.96571,0.69978,1.10397,0.54111,0.94742,0.00406,0.00406,0.00406
182,9126.04,1.02024,0.57262,1.00196,0.97328,0.9355,0.96482,0.70446,1.09074,0.53936,0.94423,0.004027,0.004027,0.004027
183,9176.29,1.01877,0.56713,1.00568,0.97504,0.93649,0.96678,0.70445,1.08922,0.53842,0.943,0.003994,0.003994,0.003994
184,9226.44,1.01754,0.56027,0.99799,0.96714,0.93893,0.96858,0.70452,1.0933,0.53996,0.94279,0.003961,0.003961,0.003961
185,9276.63,1.01287,0.5614,0.99952,0.96212,0.94235,0.96738,0.70807,1.07625,0.5427,0.94268,0.003928,0.003928,0.003928
